t,value
1507910960,23075904
1507910961,98489424
1507910962,108308736
1507910963,122480952
1507910964,143693488
1507910965,171567424
1507910966,26719136
1507910967,53465936
1507910968,81163896
1507910969,109170960
1507910970,136674304
1507910971,163795832
1507910972,192152680
1507910973,16843880
1507910973,46383136
