t,value
1507840556,0.04041102166885468
1507840557,0.04130563416499348
1507840558,0.042668945379534765
1507840559,0.04357208804989961
1507840560,0.044475297755032436
1507840561,0.03523482312742398
1507840562,0.03683712166917645
1507840563,0.0376752741319802
1507840564,0.03885538770496551
1507840565,0.04003523313887888
1507840566,0.040873385601682626
1507840567,0.041711538064486374
1507840568,0.04289138349839974
1507840569,0.043729619754663475
1507840570,0.04491828026056682
1507840571,0.04575670924178851
1507840572,0.046594861704592254
1507840573,0.048193783369907504
1507840574,0.07234994635877866
1507840575,0.07352998451764998
1507840576,0.07471858636813135
1507840577,0.07555687290047107
1507840578,0.07673674347242243
1507840579,0.07757494621130218
1507840580,0.07875479164521554
1507840581,0.07959294410801929
1507840582,0.08077278954193266
1507840583,0.08195263497584604
1507840584,0.08279078743864977
1507840585,0.08397063287256315
1507840586,0.0848087853353669
1507840587,0.08650124564005869
1507840588,0.08733969975931836
1507840589,0.08851957033126974
