t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1507840575,1,174.907458,174.907458,174.907458,0.000000,174.907458,174.907458,174.907458,174.907458,174.907458,174.907458,0.692588,0.000000,0.000000,0.000000,calls/second,milliseconds
1507840576,12,174.907458,15.202325,0.049000,48.105968,0.058825,0.092074,174.907458,174.907458,174.907458,174.907458,4.878109,0.000000,0.000000,0.000000,calls/second,milliseconds
1507840576,22,174.907458,10.715522,0.049000,36.707294,0.629122,2.069255,41.957376,174.907458,174.907458,174.907458,8.758359,0.000000,0.000000,0.000000,calls/second,milliseconds
