t,value
1507910950,0.07999066976581806
1507910951,0.08087674370838481
1507910952,0.08177129754910163
1507910953,0.08265725418082441
1507910954,0.08354321081254719
1507910955,0.08442916744426998
1507910956,0.08442916744426998
1507910957,0.08531512407599276
1507910958,0.08620108070771554
1507910959,0.09528337842091827
1507910960,0.11772918282204575
1507910961,0.11861513945376853
1507910962,0.11950109608549132
1507910963,0.1203870527172141
1507910964,0.12127300934893688
1507910965,0.12348816487764278
1507910966,0.12437412150936557
1507910967,0.12526007814108833
1507910968,0.12614603477281114
1507910969,0.12703199140453392
1507910970,0.1279179480362567
1507910971,0.12880390466797947
1507910972,0.12968986129970225
1507910973,0.1354491701497932
1507910974,0.13633531112712796
1507910975,0.13722126775885074
1507910976,0.13810722439057352
1507910977,0.13838482374414385
