t,value
1507840562,8
1507840563,8
1507840564,8
1507840565,8
1507840566,8
1507840567,8
1507840568,8
1507840569,8
1507840570,8
1507840571,8
1507840572,8
1507840573,8
1507840574,0
1507840575,0
1507840576,0
1507840577,8
1507840578,8
1507840579,8
1507840580,8
1507840581,8
1507840582,8
1507840583,8
1507840584,8
1507840585,8
1507840586,8
